Thetas,H1_empty,B2_empty,FWHM_empty
0.000000000000000000e+00,5.686999999999999318e+02,2.681734620598017926e+01,2.213000000000000114e+02
5.562422744128554114e-02,5.686999999999999318e+02,2.681733046012470467e+01,2.213000000000000114e+02
1.112484548825710823e-01,5.686999999999999318e+02,2.681728322252892127e+01,2.213000000000000114e+02
1.668726823238566304e-01,5.686999999999999318e+02,2.681720449310482479e+01,2.213000000000000114e+02
2.224969097651421646e-01,5.686999999999999318e+02,2.681709427170570947e+01,2.213000000000000114e+02
2.781211372064277265e-01,5.686999999999999318e+02,2.681695255812615741e+01,2.213000000000000114e+02
3.337453646477132607e-01,5.686999999999999318e+02,2.681677935210199237e+01,2.213000000000000114e+02
3.893695920889987949e-01,5.686999999999999318e+02,2.681657465331028334e+01,2.213000000000000114e+02
4.449938195302843291e-01,5.686999999999999318e+02,2.681633846136920951e+01,2.213000000000000114e+02
5.006180469715698633e-01,5.686999999999999318e+02,2.681607077583807452e+01,2.213000000000000114e+02
5.562422744128554530e-01,5.686999999999999318e+02,2.681577159621721762e+01,2.211999999999999886e+02
6.118665018541409317e-01,5.686999999999999318e+02,2.681544092194789641e+01,2.211999999999999886e+02
6.674907292954265214e-01,5.686999999999999318e+02,2.681507875241225847e+01,2.211999999999999886e+02
7.231149567367120001e-01,5.686999999999999318e+02,2.681468508693319208e+01,2.211999999999999886e+02
7.787391841779975898e-01,5.686999999999999318e+02,2.681425992477423037e+01,2.211999999999999886e+02
8.343634116192830685e-01,5.686999999999999318e+02,2.681380326513945889e+01,2.211999999999999886e+02
8.899876390605686582e-01,5.686999999999999318e+02,2.681331510717333089e+01,2.211999999999999886e+02
9.456118665018542480e-01,5.686999999999999318e+02,2.681279544996063180e+01,2.211999999999999886e+02
1.001236093943139727e+00,5.686999999999999318e+02,2.681224429252619501e+01,1.281999999999999886e+02
1.056860321384425205e+00,5.686999999999999318e+02,2.681166163383486989e+01,1.281999999999999886e+02
1.112484548825710906e+00,5.686999999999999318e+02,2.681104747279127309e+01,1.281999999999999886e+02
1.168108776266996385e+00,5.686999999999999318e+02,2.681040180823967134e+01,1.281999999999999886e+02
1.223733003708281863e+00,5.686999999999999318e+02,2.680972463896373270e+01,1.281999999999999886e+02
1.279357231149567342e+00,5.686999999999999318e+02,2.680901596368637740e+01,1.281999999999999886e+02
1.334981458590853043e+00,5.686999999999999318e+02,2.680827578106957887e+01,1.281999999999999886e+02
1.390605686032138522e+00,5.686999999999999318e+02,2.680750408971411147e+01,1.281999999999999886e+02
1.446229913473424000e+00,5.686999999999999318e+02,2.680670088815932317e+01,1.281999999999999886e+02
1.501854140914709701e+00,5.686999999999999318e+02,2.680586617488297918e+01,1.281999999999999886e+02
1.557478368355995180e+00,5.685999999999999091e+02,2.680499994830088539e+01,2.213000000000000114e+02
1.613102595797280658e+00,5.685999999999999091e+02,2.680410220676673205e+01,2.211999999999999886e+02
1.668726823238566137e+00,5.685999999999999091e+02,2.680317294857182020e+01,2.211999999999999886e+02
1.724351050679851838e+00,5.685999999999999091e+02,2.680221217194470995e+01,2.211999999999999886e+02
1.779975278121137316e+00,5.685999999999999091e+02,2.680121987505103931e+01,2.211999999999999886e+02
1.835599505562422795e+00,5.685999999999999091e+02,2.680019605599315824e+01,2.655000000000000000e+02
1.891223733003708496e+00,5.685999999999999091e+02,2.679914071280980536e+01,2.655000000000000000e+02
1.946847960444993975e+00,5.685999999999999091e+02,2.679805384347586639e+01,2.655000000000000000e+02
2.002472187886279453e+00,5.685999999999999091e+02,2.679693544590197973e+01,1.281999999999999886e+02
2.058096415327565154e+00,5.685999999999999091e+02,2.679578551793422392e+01,2.211999999999999886e+02
2.113720642768850411e+00,5.685999999999999091e+02,2.679460405735375517e+01,2.211999999999999886e+02
2.169344870210136111e+00,5.685999999999999091e+02,2.679339106187644859e+01,2.211999999999999886e+02
2.224969097651421812e+00,5.685999999999999091e+02,2.679214652915256067e+01,2.210999999999999943e+02
2.280593325092707069e+00,5.684999999999998863e+02,2.679087045676628520e+01,2.210999999999999943e+02
2.336217552533992770e+00,5.684999999999998863e+02,2.678956284223544770e+01,2.210999999999999943e+02
2.391841779975278470e+00,5.684999999999998863e+02,2.678822368301099743e+01,2.210999999999999943e+02
2.447466007416563727e+00,5.684999999999998863e+02,2.678685297647664854e+01,2.210999999999999943e+02
2.503090234857849428e+00,5.684999999999998863e+02,2.678545071994850701e+01,1.281999999999999886e+02
2.558714462299134684e+00,5.684999999999998863e+02,2.678401691067450585e+01,1.281999999999999886e+02
2.614338689740420385e+00,5.684999999999998863e+02,2.678255154583412079e+01,1.281999999999999886e+02
2.669962917181706086e+00,5.684999999999998863e+02,2.678105462253774149e+01,1.280999999999999943e+02
2.725587144622991342e+00,5.684999999999998863e+02,2.677952613782633051e+01,2.653999999999999773e+02
2.781211372064277043e+00,5.684999999999998863e+02,2.677796608867091166e+01,2.653999999999999773e+02
2.836835599505562744e+00,5.683999999999999773e+02,2.677637447197204779e+01,2.653999999999999773e+02
2.892459826946848001e+00,5.683999999999999773e+02,2.677475128455935760e+01,2.210999999999999943e+02
2.948084054388133701e+00,5.683999999999999773e+02,2.677309652319103606e+01,2.210999999999999943e+02
3.003708281829419402e+00,5.683999999999999773e+02,2.677141018455325749e+01,2.210999999999999943e+02
3.059332509270704659e+00,5.683999999999999773e+02,2.676969226525974221e+01,2.209999999999999716e+02
3.114956736711990359e+00,5.683999999999999773e+02,2.676794276185110988e+01,2.209999999999999716e+02
3.170580964153276060e+00,5.683999999999999773e+02,2.676616167079440700e+01,2.209999999999999716e+02
3.226205191594561317e+00,5.683999999999999773e+02,2.676434898848246746e+01,2.209999999999999716e+02
3.281829419035847017e+00,5.682999999999999545e+02,2.676250471123340446e+01,2.209999999999999716e+02
3.337453646477132274e+00,5.682999999999999545e+02,2.676062883528997816e+01,2.209999999999999716e+02
3.393077873918417975e+00,5.682999999999999545e+02,2.675872135681902009e+01,1.280999999999999943e+02
3.448702101359703676e+00,5.682999999999999545e+02,2.675678227191079017e+01,2.652999999999998977e+02
3.504326328800988932e+00,5.682999999999999545e+02,2.675481157657842957e+01,2.652999999999998977e+02
3.559950556242274633e+00,5.682999999999999545e+02,2.675280926675721460e+01,2.209999999999999716e+02
3.615574783683560334e+00,5.682999999999999545e+02,2.675077533830404874e+01,2.209999999999999716e+02
3.671199011124845590e+00,5.681999999999999318e+02,2.674870978699672008e+01,2.209999999999999716e+02
3.726823238566131291e+00,5.681999999999999318e+02,2.674661260853328670e+01,2.208999999999999773e+02
3.782447466007416992e+00,5.681999999999999318e+02,2.674448379853135904e+01,1.280999999999999943e+02
3.838071693448702248e+00,5.681999999999999318e+02,2.674232335252750659e+01,2.208999999999999773e+02
3.893695920889987949e+00,5.681999999999999318e+02,2.674013126597646917e+01,2.208999999999999773e+02
3.949320148331273206e+00,5.681999999999999318e+02,2.673790753425051747e+01,2.208999999999999773e+02
4.004944375772558907e+00,5.681999999999999318e+02,2.673565215263871764e+01,2.651999999999999318e+02
4.060568603213844163e+00,5.680999999999999091e+02,2.673336511634624557e+01,1.280999999999998806e+02
4.116192830655130308e+00,5.680999999999999091e+02,2.673104642049364088e+01,1.280999999999998806e+02
4.171817058096415565e+00,5.680999999999999091e+02,2.672869606011606791e+01,1.280999999999998806e+02
4.227441285537700821e+00,5.680999999999999091e+02,2.672631403016258034e+01,2.208999999999999773e+02
4.283065512978986966e+00,5.680999999999999091e+02,2.672390032549536443e+01,2.207999999999999545e+02
4.338689740420272223e+00,5.680999999999999091e+02,2.672145494088895390e+01,2.207999999999999545e+02
4.394313967861557479e+00,5.679999999999998863e+02,2.671897787102955846e+01,1.280999999999998806e+02
4.449938195302843624e+00,5.679999999999998863e+02,2.671646911051415785e+01,2.207999999999999545e+02
4.505562422744128881e+00,5.679999999999998863e+02,2.671392865384981263e+01,2.207999999999999545e+02
4.561186650185414138e+00,5.679999999999998863e+02,2.671135649545283286e+01,2.206999999999999602e+02
4.616810877626700282e+00,5.679999999999998863e+02,2.670875262964801777e+01,2.206999999999999602e+02
4.672435105067985539e+00,5.678999999999998636e+02,2.670611705066779251e+01,1.280999999999998806e+02
4.728059332509270796e+00,5.678999999999998636e+02,2.670344975265148690e+01,1.280999999999998806e+02
4.783683559950556941e+00,5.678999999999998636e+02,2.670075072964446150e+01,2.206999999999999034e+02
4.839307787391842197e+00,5.678999999999998636e+02,2.669801997559726914e+01,2.206999999999999034e+02
4.894932014833127454e+00,5.678999999999998636e+02,2.669525748436491597e+01,2.650999999999999091e+02
4.950556242274413599e+00,5.678999999999998636e+02,2.669246324970596262e+01,1.280999999999998806e+02
5.006180469715698855e+00,5.677999999999998408e+02,2.668963726528171421e+01,2.205999999999999091e+02
5.061804697156984112e+00,5.677999999999998408e+02,2.668677952465541381e+01,2.205999999999999091e+02
5.117428924598269369e+00,5.677999999999998408e+02,2.668389002129133303e+01,2.205999999999999091e+02
5.173053152039555513e+00,5.677999999999998408e+02,2.668096874855402234e+01,1.280999999999998806e+02
5.228677379480840770e+00,5.676999999999999318e+02,2.667801569970742293e+01,1.279999999999999858e+02
5.284301606922126027e+00,5.676999999999999318e+02,2.667503086791401401e+01,2.650000000000000000e+02
5.339925834363412172e+00,5.676999999999999318e+02,2.667201424623397799e+01,2.650000000000000000e+02
5.395550061804697428e+00,5.676999999999999318e+02,2.666896582762437973e+01,2.205999999999999943e+02
5.451174289245982685e+00,5.676999999999999318e+02,2.666588560493830684e+01,1.279999999999999858e+02
5.506798516687268830e+00,5.676000000000000227e+02,2.666277357092399214e+01,2.205000000000000000e+02
5.562422744128554086e+00,5.676000000000000227e+02,2.665962971822406047e+01,2.205000000000000000e+02
5.618046971569839343e+00,5.676000000000000227e+02,2.665645403937457303e+01,2.203999999999999773e+02
5.673671199011125488e+00,5.676000000000000227e+02,2.665324652680429551e+01,1.279999999999999858e+02
5.729295426452410744e+00,5.676000000000000227e+02,2.665000717283379572e+01,2.648999999999999773e+02
5.784919653893696001e+00,5.675000000000000000e+02,2.664673596967467262e+01,2.205000000000000000e+02
5.840543881334982146e+00,5.675000000000000000e+02,2.664343290942867526e+01,2.203999999999999773e+02
5.896168108776267403e+00,5.675000000000000000e+02,2.664009798408689278e+01,1.279999999999999858e+02
5.951792336217552659e+00,5.675000000000000000e+02,2.663673118552899410e+01,2.203999999999999773e+02
6.007416563658838804e+00,5.673999999999999773e+02,2.663333250552238951e+01,2.202999999999999829e+02
6.063040791100124061e+00,5.673999999999999773e+02,2.662990193572139930e+01,2.648000000000000114e+02
6.118665018541409317e+00,5.673999999999999773e+02,2.662643946766652547e+01,1.279999999999999858e+02
6.174289245982695462e+00,5.673999999999999773e+02,2.662294509278363819e+01,1.279999999999999858e+02
6.229913473423980719e+00,5.672999999999999545e+02,2.661941880238320834e+01,2.202999999999999829e+02
6.285537700865265975e+00,5.672999999999999545e+02,2.661586058765956153e+01,1.279999999999999858e+02
6.341161928306552120e+00,5.672999999999999545e+02,2.661227043969016037e+01,2.202999999999999829e+02
6.396786155747837377e+00,5.672999999999999545e+02,2.660864834943476609e+01,2.201999999999999602e+02
6.452410383189122633e+00,5.671999999999999318e+02,2.660499430773486296e+01,2.201999999999999602e+02
6.508034610630407890e+00,5.671999999999999318e+02,2.660130830531289448e+01,1.279999999999999858e+02
6.563658838071694035e+00,5.671999999999999318e+02,2.659759033277151374e+01,1.278999999999999773e+02
6.619283065512979292e+00,5.671999999999999318e+02,2.659384038059302569e+01,2.201999999999999318e+02
6.674907292954264548e+00,5.670999999999999091e+02,2.659005843913864098e+01,2.646999999999999886e+02
6.730531520395550693e+00,5.670999999999999091e+02,2.658624449864791117e+01,2.201000000000000227e+02
6.786155747836835950e+00,5.670999999999999091e+02,2.658239854923807144e+01,2.201000000000000227e+02
6.841779975278121206e+00,5.670999999999999091e+02,2.657852058090345793e+01,2.201000000000000227e+02
6.897404202719407351e+00,5.670000000000000000e+02,2.657461058351497485e+01,1.279000000000000767e+02
6.953028430160692608e+00,5.670000000000000000e+02,2.657066854681947987e+01,2.646000000000000227e+02
7.008652657601977864e+00,5.670000000000000000e+02,2.656669446043932581e+01,2.646000000000000227e+02
7.064276885043264009e+00,5.668999999999999773e+02,2.656268831387183482e+01,1.279000000000000767e+02
7.119901112484549266e+00,5.668999999999999773e+02,2.655865009648880104e+01,2.200000000000000000e+02
7.175525339925834523e+00,5.668999999999999773e+02,2.655457979753612108e+01,2.200000000000000000e+02
7.231149567367120667e+00,5.668999999999999773e+02,2.655047740613331442e+01,2.199000000000000057e+02
7.286773794808405924e+00,5.668000000000000682e+02,2.654634291127317880e+01,2.645000000000000000e+02
7.342398022249691181e+00,5.668000000000000682e+02,2.654217630182140653e+01,2.645000000000000000e+02
7.398022249690977326e+00,5.668000000000000682e+02,2.653797756651630380e+01,1.279000000000000767e+02
7.453646477132262582e+00,5.667000000000000455e+02,2.653374669396846741e+01,2.199000000000000057e+02
7.509270704573547839e+00,5.667000000000000455e+02,2.652948367266056451e+01,2.197999999999999829e+02
7.564894932014833984e+00,5.667000000000000455e+02,2.652518849094711584e+01,2.644000000000000341e+02
7.620519159456119240e+00,5.666000000000000227e+02,2.652086113705427550e+01,1.279000000000000767e+02
7.676143386897404497e+00,5.666000000000000227e+02,2.651650159907979543e+01,2.196999999999999886e+02
7.731767614338690642e+00,5.666000000000000227e+02,2.651210986499280153e+01,1.279000000000000767e+02
7.787391841779975898e+00,5.666000000000000227e+02,2.650768592263383994e+01,1.279000000000000767e+02
7.843016069221261155e+00,5.665000000000000000e+02,2.650322975971482364e+01,2.196999999999999886e+02
7.898640296662546412e+00,5.665000000000000000e+02,2.649874136381906808e+01,2.196999999999999886e+02
7.954264524103832557e+00,5.665000000000000000e+02,2.649422072240137283e+01,1.277999999999999687e+02
8.009888751545117813e+00,5.663999999999999773e+02,2.648966782278812815e+01,2.195999999999999943e+02
8.065512978986403070e+00,5.663999999999999773e+02,2.648508265217753888e+01,1.278999999999999773e+02
8.121137206427688326e+00,5.663999999999999773e+02,2.648046519763980200e+01,2.195999999999999943e+02
8.176761433868975359e+00,5.662999999999999545e+02,2.647581544611740512e+01,2.195999999999999943e+02
8.232385661310260616e+00,5.662999999999999545e+02,2.647113338442542840e+01,1.277999999999999687e+02
8.288009888751545873e+00,5.662999999999999545e+02,2.646641899925193542e+01,2.194999999999999716e+02
8.343634116192831129e+00,5.661999999999999318e+02,2.646167227715847758e+01,2.641999999999999318e+02
8.399258343634116386e+00,5.661999999999999318e+02,2.645689320458044946e+01,1.277999999999999687e+02
8.454882571075401643e+00,5.661999999999999318e+02,2.645208176782777798e+01,2.194999999999999716e+02
8.510506798516688676e+00,5.661000000000000227e+02,2.644723795308545178e+01,2.193999999999999773e+02
8.566131025957973932e+00,5.661000000000000227e+02,2.644236174641421044e+01,2.193999999999999773e+02
8.621755253399259189e+00,5.661000000000000227e+02,2.643745313375130834e+01,2.192999999999999545e+02
8.677379480840544446e+00,5.660000000000000000e+02,2.643251210091128200e+01,1.277999999999999687e+02
8.733003708281829702e+00,5.660000000000000000e+02,2.642753863358680633e+01,2.193999999999999773e+02
8.788627935723114959e+00,5.660000000000000000e+02,2.642253271734966091e+01,2.192999999999999545e+02
8.844252163164400216e+00,5.658999999999999773e+02,2.641749433765172128e+01,1.277999999999999687e+02
8.899876390605687249e+00,5.658999999999999773e+02,2.641242347982598559e+01,2.191999999999999602e+02
8.955500618046972505e+00,5.658999999999999773e+02,2.640732012908773640e+01,1.277999999999999687e+02
9.011124845488257762e+00,5.657999999999999545e+02,2.640218427053577699e+01,1.276999999999999602e+02
9.066749072929543019e+00,5.657999999999999545e+02,2.639701588915371744e+01,2.638999999999999204e+02
9.122373300370828275e+00,5.657999999999999545e+02,2.639181496981125008e+01,2.191999999999999602e+02
9.177997527812113532e+00,5.656999999999999318e+02,2.638658149726567004e+01,2.190999999999999375e+02
9.233621755253400565e+00,5.656999999999999318e+02,2.638131545616339579e+01,1.277999999999999687e+02
9.289245982694685821e+00,5.655999999999999091e+02,2.637601683104144712e+01,2.637999999999998977e+02
9.344870210135971078e+00,5.655999999999999091e+02,2.637068560632928182e+01,2.190999999999999375e+02
9.400494437577256335e+00,5.655999999999999091e+02,2.636532176635036961e+01,1.276999999999998465e+02
9.456118665018541591e+00,5.654999999999998863e+02,2.635992529532418160e+01,2.189999999999999432e+02
9.511742892459826848e+00,5.654999999999998863e+02,2.635449617736802708e+01,2.636999999999999318e+02
9.567367119901113881e+00,5.654999999999998863e+02,2.634903439649905366e+01,1.276999999999998465e+02
9.622991347342399138e+00,5.653999999999998636e+02,2.634353993663635052e+01,2.189000000000000341e+02
9.678615574783684394e+00,5.653999999999998636e+02,2.633801278160315817e+01,2.189000000000000341e+02
9.734239802224969651e+00,5.652999999999999545e+02,2.633245291512906761e+01,2.189000000000000341e+02
9.789864029666254908e+00,5.652999999999999545e+02,2.632686032085243610e+01,1.276999999999999602e+02
9.845488257107540164e+00,5.652999999999999545e+02,2.632123498232279246e+01,2.188999999999999773e+02
9.901112484548827197e+00,5.651999999999999318e+02,2.631557688300339493e+01,1.276999999999999602e+02
9.956736711990112454e+00,5.651999999999999318e+02,2.630988600627383533e+01,2.187999999999999829e+02
1.001236093943139771e+01,5.651999999999999318e+02,2.630416233543279603e+01,2.186999999999999602e+02
1.006798516687268297e+01,5.650999999999999091e+02,2.629840585370085293e+01,1.276999999999999602e+02
1.012360939431396822e+01,5.650999999999999091e+02,2.629261654422335681e+01,2.635000000000000000e+02
1.017923362175525348e+01,5.649999999999998863e+02,2.628679439007351348e+01,1.276999999999999602e+02
1.023485784919653874e+01,5.649999999999998863e+02,2.628093937425542848e+01,2.185999999999999659e+02
1.029048207663782577e+01,5.649999999999998863e+02,2.627505147970731869e+01,1.276999999999999602e+02
1.034610630407911103e+01,5.648999999999999773e+02,2.626913068930483774e+01,2.633999999999999204e+02
1.040173053152039628e+01,5.648999999999999773e+02,2.626317698586449367e+01,1.276999999999999602e+02
1.045735475896168154e+01,5.647999999999999545e+02,2.625719035214711994e+01,2.185000000000000568e+02
1.051297898640296680e+01,5.647999999999999545e+02,2.625117077086144945e+01,2.185000000000000568e+02
1.056860321384425205e+01,5.647999999999999545e+02,2.624511822466791955e+01,2.184000000000000625e+02
1.062422744128553909e+01,5.646999999999999318e+02,2.623903269618238454e+01,2.184000000000000625e+02
1.067985166872682434e+01,5.646999999999999318e+02,2.623291416798009124e+01,1.276000000000000512e+02
1.073547589616810960e+01,5.645999999999999091e+02,2.622676262259962954e+01,2.633000000000000114e+02
1.079110012360939486e+01,5.645999999999999091e+02,2.622057804254709978e+01,1.276000000000000512e+02
1.084672435105068011e+01,5.645000000000000000e+02,2.621436041030033692e+01,2.183000000000000398e+02
1.090234857849196537e+01,5.645000000000000000e+02,2.620810970831317732e+01,1.276000000000000512e+02
1.095797280593325240e+01,5.645000000000000000e+02,2.620182591901995650e+01,2.181999999999999886e+02
1.101359703337453766e+01,5.643999999999999773e+02,2.619550902483997845e+01,2.181999999999999886e+02
1.106922126081582292e+01,5.643999999999999773e+02,2.618915900818221232e+01,2.180999999999999659e+02
1.112484548825710817e+01,5.642999999999999545e+02,2.618277585145000685e+01,1.276000000000000512e+02
1.118046971569839343e+01,5.642999999999999545e+02,2.617635953704590079e+01,2.180999999999999659e+02
1.123609394313967869e+01,5.642000000000000455e+02,2.616991004737663218e+01,2.180999999999999659e+02
1.129171817058096572e+01,5.642000000000000455e+02,2.616342736485819387e+01,2.629999999999999432e+02
1.134734239802225098e+01,5.642000000000000455e+02,2.615691147192090327e+01,1.276000000000000512e+02
1.140296662546353623e+01,5.641000000000000227e+02,2.615036235101477757e+01,2.179999999999999716e+02
1.145859085290482149e+01,5.641000000000000227e+02,2.614377998461484154e+01,1.276000000000000512e+02
1.151421508034610675e+01,5.640000000000000000e+02,2.613716435522658799e+01,2.178999999999999488e+02
1.156983930778739200e+01,5.640000000000000000e+02,2.613051544539158400e+01,1.275999999999999517e+02
1.162546353522867726e+01,5.638999999999999773e+02,2.612383323769311616e+01,2.178999999999999488e+02
1.168108776266996429e+01,5.638999999999999773e+02,2.611711771476197441e+01,1.274999999999999432e+02
1.173671199011124955e+01,5.637999999999999545e+02,2.611036885928231754e+01,2.177999999999999545e+02
1.179233621755253481e+01,5.637999999999999545e+02,2.610358665399768441e+01,1.274999999999999432e+02
1.184796044499382006e+01,5.637000000000000455e+02,2.609677108171700866e+01,2.627999999999999545e+02
1.190358467243510532e+01,5.637000000000000455e+02,2.608992212532082888e+01,1.274999999999999432e+02
1.195920889987639057e+01,5.637000000000000455e+02,2.608303976776756983e+01,2.176999999999999318e+02
1.201483312731767761e+01,5.636000000000000227e+02,2.607612399209988041e+01,2.626999999999999318e+02
1.207045735475896286e+01,5.636000000000000227e+02,2.606917478145108191e+01,2.174999999999999432e+02
1.212608158220024812e+01,5.635000000000000000e+02,2.606219211905177602e+01,1.274999999999999432e+02
1.218170580964153338e+01,5.635000000000000000e+02,2.605517598823641379e+01,2.625999999999999091e+02
1.223733003708281863e+01,5.633999999999999773e+02,2.604812637245009910e+01,2.174999999999999432e+02
1.229295426452410389e+01,5.633999999999999773e+02,2.604104325525537078e+01,1.274999999999999432e+02
1.234857849196539092e+01,5.632999999999999545e+02,2.603392662033918015e+01,2.624999999999999432e+02
1.240420271940667618e+01,5.632999999999999545e+02,2.602677645151980812e+01,2.173999999999999204e+02
1.245982694684796144e+01,5.631999999999999318e+02,2.601959273275397067e+01,2.172999999999999261e+02
1.251545117428924669e+01,5.631999999999999318e+02,2.601237544814404856e+01,2.624999999999999432e+02
1.257107540173053195e+01,5.630999999999999091e+02,2.600512458194528875e+01,2.173000000000000114e+02
1.262669962917181721e+01,5.630999999999999091e+02,2.599784011857309096e+01,1.274999999999999432e+02
1.268232385661310424e+01,5.630000000000000000e+02,2.599052204261050392e+01,2.624000000000000341e+02
1.273794808405438950e+01,5.630000000000000000e+02,2.598317033881564697e+01,1.273999999999999346e+02
1.279357231149567475e+01,5.628999999999999773e+02,2.597578499212927028e+01,2.172000000000000171e+02
1.284919653893696001e+01,5.628999999999999773e+02,2.596836598768236826e+01,2.622999999999999545e+02
1.290482076637824527e+01,5.627999999999999545e+02,2.596091331080393516e+01,2.170000000000000000e+02
1.296044499381953052e+01,5.627999999999999545e+02,2.595342694702861408e+01,2.170000000000000000e+02
1.301606922126081578e+01,5.626999999999999318e+02,2.594590688210461948e+01,1.273999999999999346e+02
1.307169344870210281e+01,5.626999999999999318e+02,2.593835310200155320e+01,2.170000000000000000e+02
1.312731767614338807e+01,5.625999999999999091e+02,2.593076559291838734e+01,2.168999999999999773e+02
1.318294190358467333e+01,5.625999999999999091e+02,2.592314434129142242e+01,2.621000000000000227e+02
1.323856613102595858e+01,5.624999999999998863e+02,2.591548933380235553e+01,2.169000000000000341e+02
1.329419035846724384e+01,5.624999999999998863e+02,2.590780055738639120e+01,2.168000000000000398e+02
1.334981458590852910e+01,5.623999999999998636e+02,2.590007799924036291e+01,2.167000000000000171e+02
1.340543881334981613e+01,5.623999999999998636e+02,2.589232164683090787e+01,1.274000000000000483e+02
1.346106304079110139e+01,5.622999999999998408e+02,2.588453148790277325e+01,2.167000000000000171e+02
1.351668726823238664e+01,5.622999999999998408e+02,2.587670751048696260e+01,2.167000000000000171e+02
1.357231149567367190e+01,5.621999999999999318e+02,2.586884970290916286e+01,1.274000000000000483e+02
1.362793572311495716e+01,5.621999999999999318e+02,2.586095805379798307e+01,2.618999999999999773e+02
1.368355995055624241e+01,5.621000000000000227e+02,2.585303255209338147e+01,1.274000000000000483e+02
1.373918417799752945e+01,5.621000000000000227e+02,2.584507318705501078e+01,2.165000000000000000e+02
1.379480840543881470e+01,5.620000000000000000e+02,2.583707994827065235e+01,2.617999999999999545e+02
1.385043263288009996e+01,5.620000000000000000e+02,2.582905282566460414e+01,1.274000000000000483e+02
1.390605686032138522e+01,5.618999999999999773e+02,2.582099180950620010e+01,2.164000000000000057e+02
1.396168108776267047e+01,5.618999999999999773e+02,2.581289689041815905e+01,2.163000000000000114e+02
1.401730531520395573e+01,5.617999999999999545e+02,2.580476805938511475e+01,1.274000000000000483e+02
1.407292954264524276e+01,5.617999999999999545e+02,2.579660530776207139e+01,2.616999999999999886e+02
1.412855377008652802e+01,5.616999999999999318e+02,2.578840862728284478e+01,1.273000000000000398e+02
1.418417799752781328e+01,5.615999999999999091e+02,2.578017801006851784e+01,2.161999999999999318e+02
1.423980222496909853e+01,5.615999999999999091e+02,2.577191344863591382e+01,2.615999999999999659e+02
1.429542645241038379e+01,5.614999999999998863e+02,2.576361493590603757e+01,1.272999999999999261e+02
1.435105067985166905e+01,5.614999999999998863e+02,2.575528246521247056e+01,2.160999999999999375e+02
1.440667490729295430e+01,5.614000000000000909e+02,2.574691603030980858e+01,1.272999999999999261e+02
1.446229913473424133e+01,5.614000000000000909e+02,2.573851562538202487e+01,1.272999999999999261e+02
1.451792336217552659e+01,5.613000000000000682e+02,2.573008124505082961e+01,2.159999999999999147e+02
1.457354758961681185e+01,5.613000000000000682e+02,2.572161288438401527e+01,1.272999999999999261e+02
1.462917181705809710e+01,5.612000000000000455e+02,2.571311053890369891e+01,1.272999999999999261e+02
1.468479604449938236e+01,5.612000000000000455e+02,2.570457420459464970e+01,2.613999999999999204e+02
1.474042027194066762e+01,5.611000000000000227e+02,2.569600387791242824e+01,1.272999999999999261e+02
1.479604449938195465e+01,5.610000000000000000e+02,2.568739955579157197e+01,2.156999999999999034e+02
1.485166872682323991e+01,5.610000000000000000e+02,2.567876123565374158e+01,1.272999999999999261e+02
1.490729295426452516e+01,5.608999999999999773e+02,2.567008891541572879e+01,1.272999999999999261e+02
